,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres
634,Alcoholics Anonymous,0.7925813953488373,0.6927441860465118,780712.4651162791,0.2338604651162789,0.0,0.24074418604651165,-18.554860465116285,0.9616511627906978,105.4342558139535,0.5868139534883717,0.02325581395348837,0,1,86,[]
1045,Andre Francis,0.8320000000000001,0.452,74027.0,0.996,4.870000000000001e-05,0.439,-10.854,0.915,99.401,0.0223,18.0,4,0,1,[]
1100,André Breton,0.8806666666666666,0.7063333333333333,1000955.6666666664,0.21433333333333326,0.0,0.2803333333333334,-18.316666666666666,0.9496666666666664,113.32433333333331,0.6916666666666665,0.0,11,0,3,['early avant garde']
1169,Angela Davis,0.9834285714285712,0.6471428571428571,556613.4285714285,0.3524285714285715,0.0021709985714285715,0.2782857142857142,-17.623,0.922,88.36828571428573,0.3984285714285714,26.0,6,1,14,[]
1304,"Announcer, February 24, 1946 - Madison, WI",0.7949999999999999,0.6439999999999999,119312.0,0.188,0.0021366500000000004,0.1425,-23.441999999999997,0.926,147.108,0.5970000000000001,0.0,11,1,4,[]
1306,"Announcer, May 12, 1946 - Madison, WI",0.983,0.721,39789.0,0.255,0.28300000000000003,0.207,-21.254,0.96,71.146,0.6659999999999999,0.0,10,0,2,[]
1307,"Announcer, May 5, 1946 - Madison, WI",0.908,0.7240000000000001,91325.0,0.196,0.000997,0.0829,-19.223,0.902,121.259,0.843,0.0,6,1,2,[]
1377,Anton Tschechow,0.7155,0.65625,129775.0,0.07719999999999999,0.0,0.5565,-24.84,0.9075,125.36399999999999,0.4544999999999999,0.0,5,0,8,['german literature']
1554,Arnold Michaelis,0.775,0.6509999999999999,960253.0,0.132,0.0,0.499,-25.381,0.918,90.065,0.6609999999999999,0.0,6,1,2,[]
2573,Bill Burr,0.9198333333333332,0.5614166666666667,281899.91666666674,0.8206666666666668,4.2183333333333325e-06,0.7924166666666664,-10.575333333333333,0.9280833333333334,102.47025,0.39025,44.41666666666666,1,1,24,"['comedy', 'comic']"
2648,Billy De Wolfe,0.625,0.7120000000000001,33387.0,0.359,0.0,0.64,-14.308,0.943,135.058,0.961,19.0,8,1,2,[]
2952,Bob Newhart,0.9364,0.4805,323232.0,0.8234,4.4205e-05,0.8583999999999999,-12.868099999999998,0.9052,97.07240000000002,0.3134,10.1,11,1,20,"['clean comedy', 'comedy', 'comic']"
2954,Bob Prince,0.966,0.616,1415707.0,0.209,0.0,0.127,-16.566,0.902,76.418,0.34600000000000003,16.0,7,1,1,[]
2955,Bob Roberts,0.966,0.616,1415707.0,0.209,0.0,0.127,-16.566,0.902,76.418,0.34600000000000003,16.0,7,1,1,['shanty']
3263,Brian Posehn,0.898,0.601,235347.0,0.619,0.0,0.845,-11.288,0.945,139.966,0.41,43.0,2,0,2,"['comedy', 'comic', 'new comedy']"
3266,Brian Regan,0.8210000000000002,0.5555454545454547,194363.63636363635,0.5215454545454545,3.076727272727273e-05,0.7849090909090908,-15.205818181818184,0.9050909090909088,91.92227272727273,0.3693636363636363,37.09090909090909,6,1,22,"['clean comedy', 'comedy', 'comic']"
3419,Buddy Blattner,0.942,0.66,45947.0,0.368,0.0,0.665,-21.58,0.936,90.089,0.495,5.0,4,1,2,[]
4132,Charles Vanel,0.8,0.477,302943.0,0.325,0.0,0.189,-22.047,0.918,85.671,0.299,0.0,1,1,1,[]
4462,Christian Finnegan,0.847,0.591,348347.0,0.688,0.0,0.951,-10.282,0.913,111.929,0.5489999999999999,44.0,1,1,2,"['comedy', 'deep comedy', 'new comedy']"
4492,Christoph Waltz,0.21434862385321105,0.6752660550458711,337514.6422018349,0.33888990825688065,5.639174311926602e-06,0.2489311926605507,-18.085623853211,0.945009174311926,101.747486238532,0.6773761467889907,15.082568807339447,3,0,218,[]
4541,Chuck Riley,0.7759999999999999,0.532,3432107.0,0.307,0.0,0.116,-20.451,0.921,77.781,0.443,41.0,0,1,2,"[""children's music""]"
4650,Claude McKay,0.6875,0.7040000000000001,96793.5,0.126,0.0,0.0985,-16.666,0.905,96.6465,0.5874999999999999,5.5,7,1,4,[]
4894,Coquelin,0.7394999999999999,0.5595,102346.5,0.34650000000000003,0.0,0.7260000000000001,-19.8995,0.947,172.94699999999997,0.3925000000000001,1.0,5,1,4,[]
4911,Cornelius Peeples,0.9768333333333334,0.6475,267269.0,0.5351666666666667,0.0002597783333333333,0.3706666666666665,-13.024333333333333,0.9463333333333334,79.03566666666666,0.6006666666666667,0.0,3,1,6,[]
5344,Dale Carnegie,0.3919921875,0.6812812499999997,456758.4375,0.33346093749999994,1.2765234375e-05,0.27131562499999995,-15.542999999999996,0.9462187499999992,106.45647656249996,0.5232140625000001,15.5,10,0,128,"['guidance', 'motivation']"
5404,Dana Gould,0.8320000000000001,0.617,125893.0,0.422,0.0,0.901,-14.989,0.921,118.366,0.605,36.0,5,1,2,"['comedy', 'deep comedy', 'new comedy']"
5455,Daniel Tosh,0.804,0.5710000000000001,501627.0,0.818,0.0,0.902,-10.146,0.948,83.45299999999997,0.28600000000000003,39.0,1,1,2,"['comedy', 'comic']"
5646,David Cross,0.831,0.604,301333.0,0.611,0.0,0.763,-9.632,0.945,80.186,0.574,41.0,6,1,2,"['comedy', 'comic', 'new comedy']"
5897,Demetri Martin,0.8292500000000002,0.46775,270460.0,0.93375,3.7375e-05,0.6945,-10.26125,0.92925,83.16774999999998,0.1667,42.75,6,0,8,"['comedy', 'comic', 'new comedy']"
