,col1
musique guadeloupe,1
midwest americana,1
middle eastern traditional,1
mexican traditional,1
classic eurovision,1
merengue tipico,1
classic iskelma,1
mento,1
memphis americana,1
melodic thrash,1
melbourne bounce,1
college a cappella,1
college marching band,1
mashup,1
mariachi cristiano,1
mallet,1
magyar,1
concertina,1
louvor,1
laboratorio,1
korean ost,1
kolsche karneval,1
cuatro venezolano,1
cuban alternative,1
kodomo no ongaku,1
cymraeg,1
dangdut,1
danish singer-songwriter,1
kindermusik,1
keroncong,1
circuit,1
darksynth,1
military cadence,1
mod revival,1
nightcore,1
canadian choir,1
canadian indigenous,1
new tribe,1
new england americana,1
new age piano,1
cante flamenco,1
neo-pagan,1
canzone genovese,1
muzika l'yeladim,1
muziek voor kinderen,1
carnatic instrumental,1
musique concrete,1
musica jibara,1
celtic harp,1
musica infantil catala,1
chakra,1
musica de fondo,1
chamber ensemble,1
chamber psych,1
musica canaria,1
music box,1
motivation,1
children's story,1
chinese instrumental,1
mollywood,1
modern string quartet,1
modern big band,1
christian a cappella,1
minecraft,1
ninja,1
kabyle,1
deathstep,1
historic string quartet,1
highlife,1
hangpan,1
hands up,1
guitar case,1
groove room,1
gqom,1
esperanto,1
gothic americana,1
euphoric hardstyle,1
glee club,1
ghanaian traditional,1
german show tunes,1
german oi,1
experimental ambient,1
experimental big band,1
experimental poetry,1
experimental vocal,1
german baroque,1
filthstep,1
gamelan,1
gaita zuliana,1
gabba,1
funana,1
flick hop,1
french shoegaze,1
focus beats,1
folclore extremeno,1
folclore navarra,1
eastern bloc groove,1
deathgrass,1
honky-tonk piano,1
early music choir,1
kabarett,1
deep ccm,1
deep minimal techno,1
jovem guarda,1
jewish cantorial,1
japanese vgm,1
japanese singer-songwriter,1
deep psychobilly,1
j-division,1
j-acoustic,1
italian techno,1
italian mandolin,1
destroy techno,1
detskie pesni,1
islamic recitation,1
irish pub song,1
doujin,1
irish fiddle,1
irish ballad,1
dream trance,1
irish accordion,1
inuit traditional,1
drone ambient,1
instrumental acoustic guitar,1
ilahiler,1
dutch prog,1
hula,1
huapango,1
horrorcore,1
early music ensemble,1
norsk lovsang,1
francoton,1
sertanejo universitario,1
animal singing,1
baroque singing,1
trancecore,1
serialism,1
trio cubano,1
semba,1
uilleann pipes,1
scottish singer-songwriter,1
scottish new wave,1
salsa puertorriquena,1
cambridge choir,1
vapor twitch,1
vbs,1
beatboxing,1
belgian singer-songwriter,1
vintage old-time,1
punta,1
australian psych,1
psychedelic doom,1
progressive trance,1
birmingham grime,1
black 'n' roll,1
beat poetry,1
black thrash,1
sevdah,1
barbershop,1
australian talent show,1
space ambient,1
soukous,1
spanish baroque,1
spanish invasion,1
soca,1
spanish renaissance,1
steelpan,1
azonto,1
stomp and flutter,1
shaabi,1
slack-key guitar,1
argentine ambient,1
singing bowl,1
balearic,1
balkan brass,1
ballet class,1
bandinhas,1
arabesk,1
shred,1
shakuhachi,1
shabad,1
skiffle,1
blackgaze,1
psychedelic trance,1
violao,1
progressive psytrance,1
partido alto,1
breakcore,1
papuri,1
british children's music,1
afro-cuban traditional,1
wind quintet,1
african percussion,1
women's choir,1
wonky,1
orquesta cubana,1
pet calming,1
one-person band,1
wyoming roots,1
nursery,1
xhosa,1
yoga,1
bush ballad,1
yoik,1
yugoslav new wave,1
nueva cancion,1
nova mpb,1
norwegian choir,1
zen,1
nyhc,1
brazilian boogie,1
brazilian ska,1
australian choir,1
pibroch,1
afrobeat brasileiro,1
aggrotech,1
polynesian traditional,1
pony,1
brain waves,1
boom bap,1
alt-idol,1
pianissimo,1
afrofuturismo brasileiro,1
post-screamo,1
brass ensemble,1
preschool children's music,1
brass quintet,1
progressive alternative,1
post-minimalism,1
plunderphonics,1
victorian britain,2
impressionism,2
spytrack,2
glitch hop,2
west end,2
german techno,2
uzbek traditional,2
horror synth,2
guitarra argentina,2
gbvfi,2
string band,2
hammered dulcimer,2
uk garage,2
tollywood,2
vocaloid,2
historically informed performance,2
world fusion,2
vaudeville,2
norteno-sax,2
son cubano clasico,2
progressive bluegrass,2
minimal wave,2
modular synth,2
piano cover,2
moog,2
mountain dulcimer,2
music hall,2
phonk,2
musica para ninos,2
musical advocacy,2
musikkorps,2
panpipe,2
freakbeat,2
palm desert scene,2
nashville singer-songwriter,2
nwobhm,2
nerdcore,2
nueva ola peruana,2
nueva ola chilena,2
new york drill,2
nightrun,2
rwandan traditional,2
ryukyu ongaku,2
salsa colombiana,2
madchester,2
irish singer-songwriter,2
italian baroque,2
italian library music,2
small room,2
slayer,2
italian renaissance,2
sitar,2
shush,2
jug band,2
shibuya-kei,2
sound team,2
kawaii future bass,2
sertanejo tradicional,2
kleine hoerspiel,2
klezmer,2
screamo,2
kompa,2
salsa venezolana,2
laiko,2
lds youth,2
livetronica,2
lo star,2
kirtan,2
432hz,2
zydeco,2
electra,2
bard,2
barnmusik,2
belgian new wave,2
bmore,2
boy soprano,2
british experimental,2
canadian ccm,2
canterbury scene,2
e6fi,2
bansuri,2
champeta,2
circus,2
classic afrobeat,2
drift,2
complextro,2
concert band,2
contrabass,2
dakke dak,2
dark techno,2
deep motown,2
chinese traditional,2
ethereal wave,2
deep uplifting trance,2
eurovision,2
ambient techno,2
audiophile vocal,2
asmr,2
flamenco guitar,2
adventista,2
final fantasy,2
american primitive,2
ambient idm,2
bandoneon,2
euroska,2
acid trance,2
austin singer-songwriter,2
autoharp,2
accordeon,2
charanga,3
musica infantil,3
minneapolis sound,3
mindfulness,3
traditional bluegrass,3
baiao,3
meditation,3
melancholia,3
viola,3
musica prehispanica,3
afro psych,3
corrosion,3
cuban rumba,3
wu fam,3
dansktop,3
deep big room,3
middle earth,3
carnatic vocal,3
neo-singer-songwriter,3
navajo,3
azeri traditional,3
bassline,3
beat italiano,3
reading,3
binaural,3
bleep techno,3
polka,3
spanish new wave,3
brazilian psychedelic,3
breakbeat,3
pagode,3
japanese traditional,3
outsider,3
british industrial,3
oratory,3
old-time,3
bubble trance,3
cajun,3
canadian americana,3
canadian psychedelic,3
fourth world,3
cancion infantil mexicana,3
supergroup,3
narodna muzika,3
forro,3
new french touch,3
ghazal,3
easycore,3
dutch cabaret,3
french opera,3
dutch trance,3
french movie tunes,3
dembow,3
ethnomusicology,3
enka,3
orquesta tipica,4
instrumental surf,4
american shoegaze,4
halloween,4
light music,4
canadian children's music,4
pinoy traditional,4
copla,4
