,0
rock,8723
pop,7851
hip,2970
hop,2701
rap,2629
indie,2521
jazz,2317
country,2127
folk,1840
alternative,1800
metal,1614
soul,1578
new,1571
blues,1403
classic,1344
classical,1260
latin,1254
modern,1209
dance,1145
punk,1140
house,1083
contemporary,1026
trap,932
funk,811
r&b,790
wave,744
deep,697
southern,680
mellow,600
mexican,563
roots,539
music,529
christian,523
hard,515
performance,507
neo,494
reggae,492
tropical,481
traditional,463
art,451
worship,434
and,409
canadian,397
hardcore,394
tunes,394
emo,392
urban,390
edm,387
progressive,387
soft,379
regional,378
swing,376
electro,363
standards,362
adult,362
gold,358
nu,355
band,349
disco,344
italian,343
piano,329
album,329
electropop,325
americana,320
vintage,318
big,317
british,312
gangster,311
vocal,307
coast,307
underground,306
garage,300
storm,294
quiet,294
grupera,293
psychedelic,293
post-teen,291
post-grunge,288
melodic,287
reggaeton,285
australian,279
uk,277
banda,267
ska,267
salsa,264
indietronica,259
building,253
brill,253
soundtrack,245
romantic,243
show,243
vapor,242
bubblegum,240
singer-songwriter,237
cumbia,236
stomp,236
motown,236
norteno,233
gospel,233
fusion,228
holler,222
rock-and-roll,220
bluegrass,220
room,218
hollywood,217
road,211
bass,211
metalcore,205
lo-fi,205
experimental,199
post-punk,195
chicago,194
industrial,192
jack,192
lounge,191
south,190
cool,190
swedish,190
dirty,186
american,185
opera,184
french,180
ccm,179
movie,179
bebop,179
instrumental,178
atl,177
world,177
post-disco,172
glam,170
espanol,170
early,170
electronica,170
orchestral,170
era,168
east,167
en,164
ambient,164
post-bop,163
texas,161
bop,160
west,159
ranchera,158
acoustic,157
poptimism,156
indian,156
broadway,152
power,151
rockabilly,143
baroque,143
europop,141
thrash,141
group,141
school,140
bollywood,140
old,139
german,138
comic,138
rhythm,138
filmi,137
anthem,136
japanese,136
orchestra,131
chanson,131
freak,131
listening,131
easy,131
post-hardcore,130
rave,130
age,129
bolero,129
spanish,128
sound,128
dance-punk,128
smooth,127
lilith,126
viral,126
mandopop,123
electronic,122
brazilian,122
flow,121
chamber,120
guitar,119
nova,118
stride,116
permanent,116
synthpop,115
opm,115
k-pop,115
saxophone,115
dark,109
electric,108
sleep,108
core,107
duranguense,107
mpb,106
philly,105
symphonic,105
screamo,104
pub,103
soprano,103
doo-wop,102
c-pop,102
revival,102
bossa,101
desi,100
skate,98
beats,95
escape,95
jam,95
comedy,94
orleans,94
dancehall,94
historic,93
irish,93
steady,92
groove,91
death,91
