,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres
9,"""Weird Al"" Yankovic",0.17693409090909093,0.664787878787879,218165.25757575766,0.6851363636363638,4.631757575757574e-05,0.16213939393939394,-9.877909090909096,0.08239242424242428,132.49509090909086,0.7544090909090906,33.68181818181818,9,1,132,comedy
11,$NOT,0.5469999999999999,0.7501249999999999,152929.5,0.51975,0.0431371375,0.21397500000000005,-8.8785,0.276725,114.229125,0.3195,64.625,6,1,8,hip hop
13,$uicideBoy$,0.12812262295081964,0.7652459016393444,147549.44262295082,0.6417049180327874,0.038454471147541004,0.2011950819672132,-6.626918032786888,0.15591721311475404,119.80436065573772,0.29609590163934424,61.64754098360656,1,1,122,rap
15,'In The Heights' Original Broadway Company,0.6365882352941177,0.541,301908.29411764705,0.4022823529411765,7.74823529411765e-06,0.1938235294117647,-9.405882352941175,0.1500058823529412,114.95252941176471,0.407764705882353,46.58823529411765,7,1,17,broadway
16,'Legally Blonde' Ensemble,0.6010833333333333,0.6135833333333333,291892.16666666674,0.4115,1.964666666666667e-05,0.21566666666666667,-11.200333333333333,0.4595833333333333,115.58,0.5031666666666667,48.16666666666666,8,1,12,broadway
19,'Til Tuesday,0.10555625000000002,0.5571250000000001,255213.5,0.6122499999999998,0.0233002525,0.1275875,-9.638125000000002,0.03215,103.08025,0.532625,35.125,0,1,16,rock
20,((( O ))),0.847,0.41,311837.0,0.16899999999999998,0.0032700000000000003,0.117,-11.422,0.0485,89.494,0.208,66.0,3,1,2,latin
23,(G)I-DLE,0.029966666666666662,0.718,194278.0,0.7643333333333334,9.4e-07,0.16333333333333333,-3.797333333333333,0.0552,129.99200000000002,0.44966666666666666,74.66666666666667,4,0,3,pop
24,(Hed) P.E.,0.0116314,0.5892000000000002,253677.4,0.8792,2.0259999999999997e-06,0.17112000000000002,-5.2597999999999985,0.17214000000000002,134.9694,0.4270000000000001,45.8,2,1,10,metal
25,*NSYNC,0.15675753846153845,0.642051282051282,237077.5128205128,0.7193205128205126,0.003624652307692304,0.2174230769230769,-6.0306923076923065,0.06715512820512821,114.68521794871796,0.6151282051282053,45.794871794871796,0,1,78,pop
27,-,0.466,0.446,316307.0,0.546,1.5399999999999998e-05,0.193,-7.022,0.045,125.961,0.376,55.0,10,0,2,pop
28,...And You Will Know Us by the Trail of Dead,0.008409999999999999,0.255,273624.0,0.858,0.000355,0.513,-5.085,0.0694,144.653,0.237,35.0,7,1,2,rock
30,03 Greedo,0.06932,0.7246,220595.2,0.6938,8e-07,0.16505999999999998,-5.021,0.05073999999999999,93.9078,0.4434,59.2,1,0,5,rap
31,070 Shake,0.3751333333333334,0.68,303688.66666666674,0.637,2.32e-06,0.12426666666666668,-9.293666666666667,0.1089,112.67866666666669,0.3456666666666666,63.0,4,0,3,r&b
32,10 Ft. Ganja Plant,0.10835,0.7875,256780.0,0.7725,0.8465,0.07735,-4.744,0.07285,142.97299999999996,0.8340000000000001,48.5,2,0,4,reggae
