,blues r&b!,jazz & swing,classical & orchestra,"latin(cumbia, salsa, cha-cha, tango, bachata, merenge)",soul,country,folk,reggae,"rap, hip hop",pop/indie,rock,metal,punk,disco,edm,funk,talk
acousticness,,>0.5,>0.7,<0.6(0.2),<0.6,<0.6,>0.4,<0.3,<0.2,svasta,<0.8(oko0),<0.1,<0.3,<0.3,<0.3,<0.3,0.4
danceability,oko 0.4,>0.5,0.2 - 0.5,>0.5,>0.5,od 0.5 do 0.7,od 0.4 do 0.5,>0.6,>0.5,od 0.4 do 0.8,od 0.4 do 0.6,<0.5,<0.6,>0.6,>0.5,>0.55,
duration min, 2 - 6,3 do 6,>4 do 10,od 2 do 6,od 2 do 4,od 3 do 5,oko 3,oko 3,oko 3,oko 3,oko 3 min,preko 3 min,ispod 3 min,>3 min,preko 3 min,"oko 3, malo vise",
energy,>0.4,0.2 - 0.6 (0.4), <0.5,>0.5,>0.5,>0.5,<0.5,od 0.5 do 0.7,>0.6,>0.5,>0.5(0.7),>0.75(0.9),>0.6,>0.5,>0.5,>0.5,
instrumentalnes,< 0.2,<0.8,>0.5(0.6 - 0.8)svatsa,<0.1,<0.1,<0.06,<0.4,od 0.08 do 0.01,<0.075,<0.4,<0.4,svega,<0.5,<0.2,svega,<0.3,
liveness,0.1 -0.3,0.1 - 0.3,<0.3,<0.3,<0.2,<0.25,<0.4,od 0.10 do 0.20,<0.4,<0.3,<0.3,<0.4,<0.4(0.2),<0.2,<0.2,<0.2,
loudness,od -8 do -14,od10-20,<-10,od -5 do -14,od -8 do -12,od -6 do -13,od -5 do - 18,od -6 do -10,od -4 do -10,od -5 do -15,od -4 do -13,od -2 do -10,od -2 do -14,od -7 do -11,od -4 do -14,od -4 do -12,
speechiness,0.3 - 0.9 (0.6),<0.1,<0.012(0.04),<0.1,< 0.1,<0.1,<0.1,od 0.05 do 0.20,>0.1,<0.1,<0.1,<0.15,<0.2,<0.04,<0.1,<0.2,>0.4
tempo,110 - 130,80 - 150,70 - 140(100),od 100 do 150,od 110 do 130,od 105 do 130,od 100 do 140,od 90 do 130,od 100 do 140,od 100 do 140,od 100 do 140,od 100 do 160,od 100 do 160,oko 120,>100,>100,
valence,0.4 - 0.8,0.3 - 0.8,<0.5,>0.5,>0.4,>0.5,<0.6,>0.6,>0.4,od 0.3 do 0.8,od 0.3 so 0.8,<0.6,oko 0.6,>0.6,svega,svega,
popularity,>20,>20,<60,>30,,,<60,od 40 do 60,>40,od 40 do 70,od 30 do 60,od 30 do 60,od 30 do 60,od 30 do 50,od 30 do 70,od 30 do 70,
key,,,,,,,,,,,,,,,,,
mode,oko 1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,
